Week,Date,Day of the Week,Time,Home,Away,Home Score,Away Score,First Referee,Second Referee,Third Referee,Note,Elo +/-,Home Elo,Away Elo,Win,Draw,Lose
Week 1,2021-06-22,Tuesday,19:15:00,The Escape Room,Midcoast,0.0,5.0,Matthew Ferguson,Aruna Kenyi,,,-40.0,1500.0,1500.0,25,50,25
Week 1,2021-06-22,Tuesday,21:00:00,One Love FC,The Real Portland Timbers,9.0,0.0,Aruna Kenyi,Ben (Ptya) Lomeri,,,50.0,1500.0,1500.0,25,50,25
Week 1,2021-06-24,Thursday,19:15:00,Jibe/Lone Pine,U Gonna Learn Today,0.0,4.0,Aruna Kenyi,,,,-37.5,1500.0,1500.0,25,50,25
Week 1,2021-06-24,Thursday,21:00:00,Yankee Ford Sporting Club,Duppy Conquerors,0.0,1.0,Haidar Al-Freihy,,,,-20.0,1500.0,1500.0,25,50,25
Week 1,2021-06-25,Friday,19:15:00,Midcoast,JW Group,7.0,1.0,Salah Zayed,,,,37.63,1540.0,1500.0,31,49,20
Week 1,2021-06-25,Friday,21:00:00,The Escape Room,The Real Portland Timbers,5.0,2.0,Ben (Pyta) Lomeri,,,,33.99,1460.0,1450.0,26,50,24
Week 2,2021-06-29,Tuesday,19:15:00,U Gonna Learn Today,Yankee Ford Sporting Club,1.0,0.0,Salah Zayed,,,,16.72,1537.5,1480.0,34,49,17
Week 2,2021-06-29,Tuesday,21:00:00,Midcoast,Jibe/Lone Pine,1.0,2.0,Aruna Kenyi,,,,-26.39,1577.63,1462.5,44,44,12
Week 2,2021-07-01,Thursday,21:00:00,JW Group,The Escape Room,2.0,7.0,Aruna Kenyi,,,,-36.37,1462.37,1493.99,21,49,30
Week 2,2021-07-01,Thursday,19:15:00,Duppy Conquerors,One Love FC,5.0,3.0,Salah Zayed,,,,32.58,1520.0,1550.0,21,50,29
Week 3,2021-07-06,Tuesday,19:15:00,Midcoast,Duppy Conquerors,1.0,0.0,Salah Zayed,,,,20.08,1551.23,1552.58,25,50,25
Week 3,2021-07-06,Tuesday,21:00:00,The Escape Room,U Gonna Learn Today,0.0,3.0,Aruna Kenyi,,,,-32.6,1530.36,1554.22,22,49,29
Week 3,2021-07-08,Thursday,19:15:00,One Love FC,Jibe/Lone Pine,4.0,3.0,Salah Zayed,,,,18.36,1517.42,1488.89,29,50,21
Week 3,2021-07-08,Thursday,21:00:00,The Real Portland Timbers,Yankee Ford Sporting Club,2.0,0.0,Aruna Kenyi,,,,34.06,1416.01,1463.28,19,49,32
Week 4,2021-07-13,Tuesday,19:15:00,Jibe/Lone Pine,The Escape Room,5.0,1.0,Aruna Kenyi,,,,40.43,1470.53,1497.76,21,50,29
